Name,ABN,Address_streetblock,Address_locality,postcode,Email,Address For Service email,Charity Size,Who the charity helps,Date established,Last reported,Next report due,Financial Year End,States,Total_Income,TGI_Government Grants,TGI_Donations_and_Bequests,TGI_Goods_or_Services,TGI_Income_Investments,TGI_Other Revenues,Total_Expense,TE_Grants_and_Donations_in_Australia,TE_Grants_Donations_Outside_of_Australia,TE_Interest,TE_Employees,TE_Other
Stockton Surf Life Saving Club Inc.,81952288466,1 Pitt St,Stockton,2295,stocktonsurf@bigpond.com,stocktonsurf@bigpond.com,Small,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Early childhood - aged under 6,Families,Females,Males,Veterans and/or their families,Youth - 15 to under 25,General community in Australia",1907,3 December 2019,30 November 2020,31-5月,NSW," $219,079.00",15410,20274,183395,0,0," $231,251.00",993,0,0,0,230258
The Lakes Surf Life Saving Club Limited,50056615377,266 Budgewoi Road,Budgewoi,2262,admin@thelakesslsc.com.au,admin@thelakesslsc.com.au,Small,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Early childhood - aged under 6,Females,Males,People from a culturally and linguistically diverse background,People in rural/regional/remote communities,Youth - 15 to under 25,General community in Australia",1992,30 April 2020,31 December 2020,30-6月,NSW," $241,673.00",0,34010,56340,102733,48590," $245,635.00",0,0,0,21622,224013
Soldiers Beach Surf Life Saving Club Inc,74674215629,101 Soldiers Point Dr,Norah Head,2263,admin@soldiersbeachsurfclub.com.au,admin@soldiersbeachsurfclub.com.au,Medium,General community in Australia,1957,14 September 2018,31 October 2019,30-4月,NSW," $348,937.00",37295,0,310121,0,1521," $81,796.00",0,0,0,81796,0
Sorrento Surf Life Saving Club (Inc),70623378747,Sorrento Surf Life Saving Club,Sorrento,6020,admin@sorrentoslsc.org.au,admin@sorrentoslsc.org.au,Medium,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Females,Males,Youth - 15 to under 25,General community in Australia",1957,22 November 2019,31 October 2018,30-4月,WA," $345,126.00",35759,4022,301323,0,4022," $561,998.00",0,0,0,139328,422670
Shelly Beach Surf Life Saving Club Incorporated,75682049392,Shelly Beach Surf Club Shelly,Shelly Beach,2261,information@shellybeachsurfclub.com,information@shellybeachsurfclub.com,Medium,General community in Australia,1953,17 December 2019,31 October 2020,30-4月,NSW," $647,129.00",21500,14559,611070,0,0," $597,830.00",0,0,0,159259,438571
Swanbourne Nedlands Surf Life Saving Club Inc,93949145477,282 Marine Pde,Swanbourne,6010,admin@swannysurfclub.org.au,admin@swannysurfclub.org.au,Medium,"Families,Females,Males,General community in Australia",1931,11 June 2020,31 October 2021,30-4月,WA," $356,920.00",59030,11540,117709,5926,162715," $215,340.00",0,0,0,40078,175262
Seaspray Surf Life Saving Club Inc,99744504944,Lot 1a Foreshore Road,Seaspray,3851,daveconway@netspace.net.au,daveconway@netspace.net.au,Medium,,1956,6 September 2019,31 December 2020,30-6月,," $785,426.00",800,9620,683048,350,91608," $787,411.00",0,0,0,0,787411
Scarborough Wombarra Surf Lifesaving Club Inc.,41120412951,Scarborough-wombarra Surf Club Monash St,Wombarra,2515,info@scarboroughwombarraslsc.org,info@scarboroughwombarraslsc.org,Small,General community in Australia,1979,16 January 2020,31 December 2020,30-6月,NSW," $29,312.00",0,3755,10511,183,14863," $31,065.00",328,0,0,0,30737
Sandon Point Surf Life Saving Club Incorporated,82856599137,1 Point St,Bulli,2516,treasurer@sandonpointsurfclub.org.au,treasurer@sandonpointsurfclub.org.au,Small,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Families,Youth - 15 to under 25,General community in Australia",1960,19 October 2019,30 September 2020,31-3月,NSW," $143,851.00",17000,7281,56524,939,62107," $123,184.00",0,0,0,22571,100613
South Port Surf Life Saving Club Inc,51114459582,,,,mail@southportslsc.org.au,mail@southportslsc.org.au,Small,General community in Australia,1957,31 August 2019,31 October 2020,30-4月,SA," $206,469.00",29850,2650,173270,699,0," $2,650.00",2650,0,0,0,0
Windang Surf Life Saving Club Inc.,97839491308,,,,windangsecretary@hotmail.com,windangsecretary@hotmail.com,Small,"Families,Females,Males,People from a culturally and linguistically diverse background,General community in Australia",1955,9 February 2020,31 December 2020,30-6月,NSW," $58,346.00",0,15670,10795,2322,29559," $57,811.00",0,0,0,0,57811
Semaphore Surf Life Saving Club Inc,38803068615,Po Box 55,Port Adelaide Dc,5015,secretary@semaphoreslsc.com.au,secretary@semaphoreslsc.com.au,Medium,General community in Australia,1952,8 November 2018,31 October 2019,30-4月,SA," $966,261.00",577543,25975,362743,0,0," $410,465.00",0,0,0,107728,302737
Collaroy Surf Life Saving Clubincorporated,66023772886,At The Beach Pittwater Road,Collaroy Beach,2097,collaroysecretary@gmail.com,collaroysecretary@gmail.com,Medium,General community in Australia,1910,16 April 2019,31 October 2020,30-4月,NSW," $434,252.00",50595,6060,0,7183,370414," $415,477.00",0,0,0,0,415477
South Narrabeen Surf Life Saving Clubincorporated,90853268642,1200 Pittwater Rd,Narrabeen,2101,finance@snslsc.org.au,finance@snslsc.org.au,Small,General community in Australia,1919,8 March 2020,31 October 2020,30-4月,NSW," $172,291.00",43809,49292,0,0,79190," $169,723.00",0,0,0,7557,162166
Scamander Surf Life Saving Club Inc,70209680163,2 Dune St,Scamander,7215,sallyattard9@gmail.com,sallyattard9@gmail.com,Small,General community in Australia,2005,19 May 2020,31 October 2021,30-4月,"VIC,TAS"," $13,709.00",5000,720,7731,0,258," $13,989.00",5000,0,0,7437,1552
Warilla Barrack Point Surf Life Saving Club Inc,93459108513,7 Osborne Pde,Warilla,2528,info.warillasurf@gmail.com,info.warillasurf@gmail.com,Small,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",1958,11 October 2019,31 October 2020,30-4月,NSW," $195,051.00",37634,43596,35511,2704,75606," $192,999.00",0,0,0,0,192999
South West Rocks Surf Life Saving Club Incorporated,43527538956,1 Livingstone St,South West Rocks,2431,pays@swrslsc.org.au,admin@swrslsc.org.au,Medium,General community in Australia,1990,16 August 2019,31 October 2020,30-4月,NSW," $947,328.00",15500,64047,831780,0,36001," $474,988.00",0,0,0,297605,177383
Minnie Water Wooli Surf Life Saving Club Incorporated,16293381983,Nip Welsh Park Sandon Road,Grafton,2462,treasurer@mwwslsc.org.au,treasurer@mwwslsc.org.au,Small,General community in Australia,,18 October 2017,31 October 2019,30-4月,NSW," $52,291.00",28124,6309,0,0,17858," $65,904.00",0,0,0,0,65904
Macksville Scotts Head Surf Life Saving Club Inc,31637315870,Scotts Head Reserve Sort Street,Scotts Head,2447,chris.bell04@bigpond.com,chris.bell04@bigpond.com.au,Small,"Aboriginal and Torres Strait Islander people,Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Early childhood - aged under 6,Gay, lesbian, bisexual, transgender or intersex persons,Migrants, refugees or asylum seekers,People from a culturally and linguistically diverse background,People in rural/regional/remote communities,Youth - 15 to under 25,General community in Australia",,8 July 2019,30 November 2020,31-5月,NSW," $182,430.00",30023,18047,0,1504,132856," $161,649.00",0,0,0,0,161649
Torquay Surf Lifesaving Club Trust (Jack Harris Memorial),63314735506,7 Gairloch Ave,Jan Juc,3228,tslsctrust.jackharrismemorial@gmail.com,tslsctrust.jackharrismemorial@gmail.com,Small,General community in Australia,1996,13 November 2019,31 December 2020,30-6月,VIC," $6,687.00",0,0,0,6687,0," $6,279.00",6279,0,0,0,0
Whyalla Surf Life Saving Clubincorporated,61860658309,1b Cudmore Tce,Whyalla,5600,su49344@bigpond.net.au,su49344@bigpond.net.au,Small,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Early childhood - aged under 6,Youth - 15 to under 25,General community in Australia",,10 January 2020,31 December 2020,30-6月,SA," $29,724.00",11000,10000,8069,615,40," $23,031.00",0,0,0,0,23031
Lennox Head/Alstonville Surf Life Saving Club Inc.,31083456700,Pacific Parade,Lennox Head,2478,lennoxsurfclub@bigpond.com,lennoxsurfclub@bigpond.com,Small,General community in Australia,1974,22 February 2020,30 September 2019,31-3月,NSW," $145,015.00",15781,18280,103661,178,7115," $127,819.00",0,0,0,0,127819
Ballina Lighthouse And Lismore Surf Life Saving Club Inc,64923973436,1 Lighthouse Pde,East Ballina,2478,finance@ballinasurfclub.com.au,finance@ballinasurfclub.com.au,Medium,General community in Australia,1932,24 June 2020,31 October 2021,30-4月,NSW," $496,398.00",167067,251006,45447,32726,152," $129,591.00",0,0,0,0,129591
Tea Gardens Hawks Nest Surf Lifesaving Club Inc,58993838971,117 Booner St,Hawks Nest,2324,secretary.tghnslsc@gmail.com,secretary.tghnslsc@gmail.com,Small,"Children - aged 6 to under 15,General community in Australia",1932,29 April 2020,31 December 2020,30-6月,NSW," $114,447.00",28001,38184,15776,4472,28014," $61,492.00",220,0,0,0,61272
THE TRUSTEE FOR SURF LIFE SAVING SOUTH AUSTRALIA CLUB FOUNDATION,69209331324,2 Barcoo Rd,West Beach,5024,qmby@optusnet.com.au,qmby@optusnet.com.au,Medium,General community in Australia,1980,28 January 2020,31 December 2020,30-6月,SA," $450,822.00",0,0,0,450822,0," $98,771.00",0,0,0,0,98771
Yamba Surf Life Saving Club Inc,15327568072,1 Marine Pde,Yamba,2464,secretary@yambaslsc.com.au,secretary@yambaslsc.com.au,Medium,General community in Australia,1907,2 December 2019,31 October 2020,30-4月,NSW," $456,521.00",194557,228155,31650,2159,0," $261,326.00",1000,0,0,29541,230785
North Palm Beach Surf Life Saving Club Inc,59187371628,Governor Phillip Park,Palm Beach,2108,office@northpalmbeach.com.au,office@northpalmbeach.com.au,Small,General community in Australia,1945,25 September 2019,30 September 2020,31-3月,NSW," $186,106.00",5781,26262,137468,0,16595," $168,670.00",0,0,0,0,168670
Woodside Beach Surf Life Saving Club Inc,31866225413,15 Ben Rendell Dr,Woodside Beach,3874,woodsidebeachslsc@outlook.com,woodsidebeachslsc@outlook.com,Small,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Early childhood - aged under 6,Females,Males,Youth - 15 to under 25,General community in Australia",1967,31 January 2020,31 October 2020,30-4月,VIC," $43,264.00",38611,4653,0,0,0," $88,714.00",0,0,0,0,88714
Warrnambool Surf Life Saving Club Inc,37766767683,80 Pertobe Road,Warrnambool,3280,warrnamboolslsc@bigpond.com,warrnamboolslsc@bigpond.com,Medium,"Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",,4 August 2019,30 September 2020,31-3月,VIC," $309,080.00",71980,28826,28721,1483,178070," $234,057.00",0,0,0,0,234057
Wamberal Surf Life Saving Club (Inc),41162438813,1 Dover Rd,Wamberal,2260,ADMIN@WAMBERALSURFCLUB.COM,ADMIN@WAMBERALSURFCLUB.COM,Medium,"Children - aged 6 to under 15,Families,Females,Males,General community in Australia",1949,12 May 2020,31 October 2020,30-4月,NSW," $272,538.00",20839,13267,235654,2778,0," $276,852.00",0,0,0,31375,245477
Ulverstone Surf Life Saving Club Inc,88648517643,Beach Rd,Ulverstone,7315,ulverstoneslsc@gmail.com,ulverstoneslsc@gmail.com,Small,General community in Australia,1935,14 June 2018,31 October 2019,30-4月,TAS," $122,864.00",15041,542,18938,0,88343," $129,237.00",0,0,0,8165,121072
Kempsey Crescent Head Surf Life Saving Club Inc Senior,81699434179,367 Reserve Road,Crescent Head,2440,robynfuller51@gmail.com,robynfuller51@gmail.com,Small,"Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",2000,2 December 2019,31 December 2020,30-6月,NSW," $173,727.00",5000,14483,137054,3556,13634," $146,799.00",0,0,0,10652,136147
Townsville Picnic Bay Surf Lifesaving Club Inc,65025300369,Po Box 662,Townsville,4810,admin@tpbslsc.com.au,admin@tpbslsc.com.au,Medium,General community in Australia,1986,4 September 2019,31 October 2020,30-4月,QLD," $388,461.00",73624,34279,0,0,280558," $373,739.00",0,0,0,52752,320987
Trigg Island Surf Life Saving Club (Inc),46420647859,360 West Coast Dr,Trigg,6029,tislsc@triggisland.com,tislsc@triggisland.com,Medium,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Families,Youth - 15 to under 25",1952,31 July 2019,31 October 2020,30-4月,WA," $611,443.00",0,13212,226069,0,372162," $578,003.00",0,0,0,68673,509330
Woolgoolga Surf Life Saving Club Inc.,11434864088,Po Box 266,Woolgoolga,2456,mick@woolgoolgaslsc.com,Mick@Woolgoolgaslsc.com,Large,General community in Australia,1931,21 February 2020,31 October 2020,30-4月,NSW," $1,697,099.00",1555908,74733,0,7217,59241," $113,079.00",0,0,0,0,113079
Burleigh Heads Mowbray Park Slsc Inc,30933975671,53 Goodwin Tce,Burleigh Heads,4220,admin@burleighslsc.com.au,admin@burleighslsc.com.au,Large,"Females,Males,General community in Australia",1922,20 August 2019,31 October 2020,30-4月,QLD," $1,541,475.00",43951,1076905,126744,290053,3822," $1,003,588.00",0,0,0,42879,960709
Narrabeen Beach Surflifesaving Club Inc,90827832504,Lions Park Ocean Street,Narrabeen,2101,finance@narrabeach.org.au,admin@narrabeach.org.au,Small,"Families,General community in Australia",1969,14 November 2019,31 October 2020,30-4月,NSW," $129,620.00",41222,115,62588,0,25695," $200,460.00",0,0,0,11000,189460
Terrigal Surf Life Saving Clubincorporated,87253066398,81 Terrigal Esp,Terrigal,2260,office@terrigalsurfclub.com.au,office@terrigalsurfclub.com.au,Medium,General community in Australia,1924,12 June 2020,31 October 2020,30-4月,NSW," $313,060.00",9325,23059,280676,0,0," $330,964.00",0,0,0,82237,248727
Venus Bay Surf Life Saving Club Inc,27956542350,Po Box 346,Bentleigh,3204,secretary@vbslsc.org.au,secretary@vbslsc.org.au,Small,General community in Australia,1960,4 September 2019,31 October 2020,30-4月,VIC," $159,517.00",18705,35431,50124,2872,52385," $141,049.00",0,0,0,0,141049
Waratah Beach Surf Life Saving Club Inc.,16531142806,130 Beach Pde,Sandy Point,3959,info@waratahbeach.com.au,treasurer@waratahbeach.com.au,Small,General community in Australia,1962,4 August 2019,31 October 2020,30-4月,VIC," $178,876.00",61795,15310,71094,7651,23026," $186,999.00",0,0,0,0,186999
Thirroul Surf Life Saving Club Inc,82153254056,The Esplanade,Thirroul,2515,info@thirroulsurfclub.com.au,president@thirroulsurfclub.com.au,Small,General community in Australia,1907,16 October 2019,31 October 2020,30-4月,NSW," $187,059.00",95775,19250,59788,1066,11180," $107,785.00",0,0,0,0,107785
The Trustee For The Harry Moore Soldiers Beach Surf Lifesaving Club Junior Trust,51199883597,Po Box 90,Toukley,2263,melanie.ogle@gmail.com,melanie.ogle@gmail.com,Small,Children - aged 6 to under 15,2007,31 March 2019,31 August 2020,30-6月,NSW," $3,406.00",0,0,0,1227,2179," $2,765.00",2765,0,0,0,0
Port Fairy Surf Lifesaving Club Inc A1412Z,14565507323,4 Hughes Avenue,Port Fairy,3284,pfslsc@bigpond.com,pfslsc@bigpond.com,Medium,General community in Australia,,12 November 2019,31 December 2020,30-6月,VIC," $259,879.00",94106,28254,123371,2531,11617," $118,862.00",0,0,0,0,118862
Broulee Surfers Surf Lifesaving Clubinc,62456466445,Po Box 5005,Broulee,2537,brosslsc@bigpond.net.au,brosslsc@bigpond.net.au,Small,General community in Australia,1978,5 August 2019,31 October 2020,30-4月,"NSW,ACT"," $196,104.00",14912,53651,0,483,127058," $146,117.00",5500,0,0,0,140617
Whale Beach Property Surf Life Saving Club Incorporated,42042068751,Po Box 354,Avalon Beach,2107,treasurer@whalebeachslsc.com,treasurer@whalebeachslsc.com,Small,General community in Australia,1926,17 February 2020,31 October 2020,30-4月,NSW," $121,744.00",0,0,100855,3834,17055," $116,038.00",39000,0,0,0,77038
Lorne Surf Life Saving Club Inc (Reg. No. A0007451U),38826799374,Po Box 142,Lorne,3220,treasurer@lornesurfclub.com.au,tim.boness@boness.com.au,Large,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Females,Males,Youth - 15 to under 25,General community in Australia",1946,6 August 2019,31 October 2020,30-4月,VIC," $1,185,235.00",0,44629,45922,17526,1077158," $1,171,612.00",12866,0,0,37328,1121418
Mermaid Beach AEME Surf Life Saving Club Inc,86206436082,172 Hedges Ave,Mermaid Beach,4218,accounts@mermaidslsc.org.au,accounts@mermaidslsc.org.au,Medium,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Families,Females,Males,Youth - 15 to under 25,General community in Australia",1945,13 August 2019,31 October 2020,30-4月,QLD," $753,504.00",56193,243370,19751,0,434190," $698,177.00",0,0,0,162929,535248
Catherine Hill Bay Surf Life Saving Club Inc,37352006891,Lot 212 Flowers Drive,Catherine Hill Bay,2259,info@cathoslsc.org.au,finance@cathoslsc.org.au,Small,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Families,Females,Males,People from a culturally and linguistically diverse background,Youth - 15 to under 25,Other charities,General community in Australia",1927,28 November 2019,30 November 2020,31-5月,NSW," $135,909.00",25515,10408,99432,554,0," $127,348.00",0,0,0,2700,124648
Golden Beach Surf Life Saving Club Victoria Incorporated,47839278561,1/19 Surf Edge Drive,Golden Beach,3851,stephen.parratt@yahoo.com,stephen.parratt@yahoo.com,Small,Children - aged 6 to under 15,1998,6 January 2020,31 December 2020,30-6月,VIC," $11,895.00",2722,6000,3173,0,0," $22,989.00",0,0,0,0,22989
Taree Old Bar Surf Life Saving Club Incorporated,50480256421,Old Bar Road,Old Bar,2430,president@tareeoldbarsurfclub.com.au,president@tareeoldbarsurfclub.com.au,Small,General community in Australia,1927,6 September 2019,31 August 2020,30-6月,NSW," $89,248.00",15781,17957,54802,708,0," $64,174.00",0,0,0,0,64174
South Curl Curl Surf Life Saving Club Inc.,88589451919,Carrington Parade,Curl Curl,2096,mail@southcurlcurlslsc.org,mail@southcurlcurlslsc.org,Medium,General community in Australia,1917,24 October 2019,31 October 2020,30-4月,NSW," $305,418.00",9961,6200,203546,4720,80991," $368,412.00",0,0,0,5867,362545
Currumbin Beach Vikings Surf Life Saving Club Inc,66528332039,741 Pacific Pde,Currumbin,4223,administrator@currumbinslsc.com.au,ceo@currumbinslsc.com.au,Large,General community in Australia,1919,15 July 2019,31 October 2020,30-4月,QLD," $1,485,452.00",28477,964475,0,0,492500," $1,282,482.00",0,0,0,472350,810132
Woonona Surf Life Saving Club Inc,12586856905,Kurraba Road,Woonona,2517,woononaslscfinance@gmail.com,woononaslscfinance@gmail.com,Small,General community in Australia,1928,4 December 2019,30 November 2020,31-5月,NSW," $92,289.00",5000,6571,22698,3559,54461," $47,697.00",0,0,0,0,47697
Woolamai Beach Surf Life Saving Club Incorporated,32949554248,288 Woolamai Beach Road,Cape Woolamai,3925,administration@woolamaibeach.asn.au,administration@woolamaibeach.asn.au,Medium,"Families,Victims of disaster,General community in Australia",1958,4 June 2020,31 October 2021,30-4月,VIC," $617,525.00",243309,87252,26106,6359,254499," $310,915.00",0,0,0,22813,288102
Wanda Surf Life Saving Club Incorporated,60850705106,2 Marine Esp,Cronulla,2230,clubhouse@wandaslsc.com.au,clubhouse@wandaslsc.com.au,Large,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Families,Females,Males,Youth - 15 to under 25,General community in Australia",1993,13 September 2019,31 October 2020,30-4月,NSW," $1,211,704.00",0,121898,584750,0,505056," $1,039,246.00",0,0,25899,90935,922412
TWEED HEADS AND COOLANGATTA SURF LIFE SAVING CLUB INCORPORATED,59962048592,Th&c Slsc Corner Marine Parade & Hill Street,Coolangatta,4225,thcslsc@bigpond.net.au,thcslsc@bigpond.net.au,Medium,General community in Australia,,15 July 2019,31 October 2020,30-4月,QLD," $896,343.00",68987,548564,278486,306,0," $553,473.00",0,0,0,122659,430814
Umina Surf Life Saving Club Inc,51540929739,509 Ocean Beach Rd,Umina Beach,2257,admin@uminaslsc.org.au,admin@uminaslsc.org.au,Medium,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Females,Males,Youth - 15 to under 25,General community in Australia",1959,28 November 2019,30 September 2020,31-3月,NSW," $512,631.00",55665,114548,253815,3018,85585," $494,176.00",7000,0,0,72681,414495
Wollongong City Surf Life Saving Club Incorporated,17794015745,1 Marine Dr,Wollongong,2500,wollongongcityslsc@bigpond.com,wollongongcityslsc@bigpond.com,Small,"Females,Males,General community in Australia",1912,9 March 2020,30 November 2020,31-5月,NSW," $140,144.00",0,18900,94316,2526,24402," $157,919.00",0,0,0,0,157919
Warriewood Beach Surf Life Saving Club Inc,95461578195,Narrabeen Park Parade,Warriewood,2102,treasurer@warriewoodslsc.com.au,treasurer@warriewoodslsc.com.au,Small,General community in Australia,1949,29 March 2019,31 October 2020,30-4月,NSW," $121,839.00",9000,30241,33326,0,49272," $226,595.00",0,0,0,0,226595
West Beach Surf Lifesaving Club Incorporated,90162377327,Corner West Beach & Seaview Roads,West Beach,5024,lea@precisebooks.com.au,afddvd@gmail.com,Large,General community in Australia,1935,12 May 2020,30 September 2020,31-3月,SA," $2,293,263.00",0,148141,2138075,7047,0," $2,000,437.00",0,0,0,682786,1317651
Tugun Surf Life Saving Club Inc,23531283216,29 O'connor St,Tugun,4224,surfadmin@tugunslsc.com.au,surfadmin@tugunslsc.com.au,Medium,General community in Australia,1924,11 July 2019,31 October 2020,30-4月,QLD," $396,150.00",55908,30387,15350,17853,276652," $427,397.00",0,0,0,46981,380416
Towradgi Surf Life Saving Club Inc,24522940258,Po Box 4011,Towradgi,2518,president@towradgisurfclub.com.au,president@towradgisurfclub.com.au,Small,General community in Australia,1946,3 October 2019,31 January 2020,30-6月,NSW," $120,126.00",43417,5597,67455,0,3657," $100,296.00",0,0,0,3840,96456
Quinns Mindarie Surf Lifesaving Club Inc,15674140779,Ocean Dr,Quinns Rocks,6030,quinnsmindarie@bigpond.com,quinnsmindarie@bigpond.com,Medium,General community in Australia,1983,15 July 2018,30 September 2019,31-3月,WA," $271,743.00",60000,5311,81035,1451,123946," $222,211.00",0,0,0,25950,196261
Port Elliot Surf Life Saving Club Inc.,44811071674,Po Box 21,Port Elliot,5212,peslsc01@bigpond.net.au,peslsc01@bigpond.net.au,Small,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Females,Males,People from a culturally and linguistically diverse background,People with disabilities,Youth - 15 to under 25,General community in Australia",1963,16 September 2019,31 December 2020,30-6月,SA," $174,482.00",5000,16074,57748,9983,85677," $87,804.00",0,0,0,0,87804
Point Lookout Surf Lifesaving Club Inc,67892838556,Po Box 122,Cleveland,4163,admin@pointlookoutslsc.com.au,admin@pointlookoutslsc.com.au,Medium,General community in Australia,1946,1 November 2018,31 October 2019,30-4月,QLD," $571,090.00",116259,65738,387694,1399,0," $648,418.00",0,0,0,61115,587303
Portland Surf Life Saving Club Inc,21171389185,Po Box 222,Portland,3305,portlandslsc@gmail.com,portlandslsc@gmail.com,Small,General community in Australia,1935,25 September 2019,30 November 2020,31-5月,VIC," $246,336.00",173862,15052,57096,326,0," $188,277.00",0,0,0,0,188277
Robe Surf Life Saving Club Incorporated,58165806600,Po Box 509,Robe,5276,robeslssa@outlook.com,robeslssa@outlook.com,Small,"Children - aged 6 to under 15,Families,General community in Australia",2014,22 August 2019,31 October 2020,30-4月,SA," $19,029.00",10000,1913,6811,0,305," $13,348.00",0,0,0,0,13348
Palm Beach Surf Life Saving Club Inc,38070685763,27-28 Ocean Rd,Palm Beach,2108,office@palmbeachslsc.com,gm@palmbeachslsc.com,Medium,General community in Australia,,17 December 2019,31 October 2020,30-4月,NSW," $516,939.00",33000,153560,33244,0,297135," $501,052.00",0,0,0,116263,384789
Pacific Surf Life Saving Club Inc,24204476192,1291 Gold Coast Hwy,Palm Beach,4221,office@pacificslsc.com,office@pacificslsc.com,Small,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",1946,14 July 2019,31 October 2020,30-4月,QLD," $158,068.00",49830,44430,62761,561,486," $226,475.00",0,0,0,13096,213379
Port Sorell Surf Life Saving Club,41825973960,1 Dumbleton Street,Hawley Beach,7307,portsorellslc@gmail.com,portsorellslc@gmail.com,Small,"Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",,10 February 2020,30 September 2020,31-3月,TAS," $125,244.00",45000,2042,60565,0,17637," $70,131.00",0,0,0,0,70131
Port Macquarie Surf Life Saving Club Inc,47032038365,35 Tuppenny Lane,Port Macquarie,2444,treasurer@pmslsc.com.au,treasurer@pmslsc.com.au,Medium,General community in Australia,1927,17 December 2019,30 November 2020,31-5月,NSW," $387,230.00",90639,12832,142259,0,141500," $426,534.00",250,0,0,34747,391537
Nowra Culburra Surf Life Saving Club,99115839023,Po Box 221,Culburra Beach,2540,admin@nowraculburraslsc.asn.au,admin@nowraculburraslsc.asn.au,Small,General community in Australia,1953,25 October 2017,30 November 2019,31-5月,NSW," $96,595.00",9000,23003,15531,0,49061," $83,064.00",0,0,0,0,83064
Ocean Grove Surf Life Saving Club Inc,94392258995,28 Surf Beach Rd,Ocean Grove,3226,admin@oceangroveslsc.asn.au,admin@oceangroveslsc.asn.au,Large,General community in Australia,,2 December 2019,30 November 2020,31-5月,VIC," $5,351,920.00",4970500,73787,303902,1005,2726," $298,254.00",0,0,661,50217,247376
Pambula Beach Surf Life Saving Club Incorporated,83872472712,1 Pambula Beach Rd,Pambula Beach,2549,treasurer@pambulasurf.org.au,treasurer@pambulasurf.org.au,Small,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Early childhood - aged under 6,Females,Males,Youth - 15 to under 25,General community in Australia",1913,27 January 2020,31 December 2020,30-6月,NSW," $187,861.00",61987,71487,46575,1442,6370," $199,859.00",0,0,0,0,199859
Point Leo Surf Life Saving Club Incorporated,83471063765,U 44 113 Country Club Dr,Safety Beach,3936,admin@pointleoslsc.com.au,admin@pointleoslsc.com.au,Medium,General community in Australia,1954,2 September 2019,31 October 2020,30-4月,VIC," $582,247.00",227717,42259,296083,16188,0," $344,869.00",15900,0,0,0,328969
North Steyne Surf Life Saving Club Inc,99734830191,93-95 North Steyne,Manly,2095,admin@northsteyneslsc.com.au,admin@northsteyneslsc.com.au,Medium,General community in Australia,1906,3 March 2020,30 November 2020,31-5月,NSW," $333,154.00",137468,73773,109561,12352,0," $340,442.00",1500,0,0,26146,312796
The Port Campbell Surf Life Saving Club Incorporated,24803275680,Cairns Street,Port Campbell,3269,treasurer@pcslsc.org.au,treasurer@pcslsc.org.au,Medium,"Children - aged 6 to under 15,General community in Australia",1962,18 May 2020,30 September 2021,31-3月,VIC," $257,373.00",21148,49225,60521,188,126291," $230,867.00",39000,0,0,0,191867
Sussex Inlet & District Surf Lifesaving Club Inc,16937816547,Po Box 6039,Sussex Inlet,2540,info@sussexinletslsc.com.au,info@sussexinletslsc.com.au,Small,"Adults - aged 25 to under 65,Adults - aged 65 and over,Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",1984,20 November 2018,31 August 2020,30-6月,NSW," $39,211.00",12211,23137,2574,301,988," $42,166.00",0,0,0,0,42166
Southport Surf Life Saving Club Inc.,96957569507,1 Macarthur Pde,Main Beach,4217,admin@sslsc.com.au,admin@sslsc.com.au,Large,General community in Australia,1923,31 October 2018,31 October 2019,30-4月,QLD," $1,178,401.00",22181,124307,1031225,688,0," $1,407,297.00",0,0,2191,178748,1226358
Somerton Surf Life Saving Club Incorporated,85241889464,Corner Esplanade And Repton Road,Somerton Park,5044,treasurer@somertonsurfclub.com.au,treasurer@somertonsurfclub.com.au,Small,"Adults - aged 25 to under 65,Children - aged 6 to under 15,Youth - 15 to under 25,General community in Australia",1959,12 November 2019,31 December 2020,30-6月,SA," $241,751.00",16634,2704,62089,17079,143245," $198,650.00",0,0,0,0,198650
